,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair
0,2.0,100.0,20.0,5.0,0.0,0.29,0.1,1.0,0.21,1.0,0.21,0.21
1,2.0,100.0,40.0,5.0,0.03,0.4,0.3,1.0,0.56,1.0,0.56,0.56
2,2.0,100.0,60.0,5.0,0.02,0.56,0.44,1.0,0.69,1.0,0.69,0.69
3,2.0,100.0,80.0,5.0,0.12,0.64,0.56,1.0,0.79,1.0,0.79,0.79
4,2.0,100.0,100.0,5.0,0.31,0.68,0.62,1.0,0.87,1.0,0.87,0.87
5,2.0,100.0,120.0,5.0,0.45,0.71,0.7,1.0,0.91,1.0,0.91,0.91
6,2.0,100.0,140.0,5.0,0.39,0.7,0.67,1.0,0.91,1.0,0.91,0.91
7,2.0,100.0,160.0,5.0,0.45,0.7,0.69,1.0,0.96,1.0,0.96,0.96
8,2.0,100.0,180.0,5.0,0.47,0.71,0.68,1.0,0.91,1.0,0.91,0.91
9,2.0,100.0,200.0,5.0,0.66,0.81,0.81,1.0,0.96,1.0,0.96,0.96
