,Agents,Iterations,Noise size,Items per agent,Cardinally fair,Fair exists,NecEF,NecEF and fair,NecEF exists,NDDEF,NDDEF and fair,NDDEF exists,WeakPDDEF,WeakPDDEF and fair,WeakPDDEF exists,WeakPosEF,WeakPosEF and fair,WeakPosEF exists,ABCCBA,ABCCBA and fair,ABCCBA exists,Baseline,Baseline and fair,Baseline exists,Cardinally fair err,Fair exists err,NecEF err,NecEF and fair err,NecEF exists err,NDDEF err,NDDEF and fair err,NDDEF exists err,WeakPDDEF err,WeakPDDEF and fair err,WeakPDDEF exists err,WeakPosEF err,WeakPosEF and fair err,WeakPosEF exists err,ABCCBA err,ABCCBA and fair err,ABCCBA exists err,Baseline err,Baseline and fair err,Baseline exists err
0,3.0,1000.0,0.1,4.0,30.734,0.992,0.0,0.0,0.0,1.205,0.142,0.061,1781.327,15.786,1.0,9783.676,30.734,1.0,1.876,0.325,0.065,1.876,0.05,0.065,0.6114172675637114,0.002818500300504507,0.0,0.0,0.0,0.18169752059119845,0.028890667535913232,0.007572076091557476,6.2874412910967825,0.4486217398493585,0.0,4.855494913482647,0.6114172675637114,0.0,0.27387521178747015,0.14227303545161543,0.007799733061832042,0.27387521178747015,0.05,0.007799733061832042
1,3.0,1000.0,0.2,4.0,115.396,1.0,0.005,0.005,0.002,6.734,2.603,0.168,2046.644,76.862,1.0,9576.36,115.396,1.0,24.111,13.392,0.181,24.111,1.067,0.181,1.929693992036795,0.0,0.004122134397613934,0.004122134397613934,0.0014135055705578234,0.5929745887159608,0.2532538815665587,0.011828605831454352,10.116530010010502,1.553395633441138,0.0,4.811983331597542,1.929693992036795,0.0,1.9013621056644778,1.5711565386265205,0.012181436179178027,1.9013621056644778,0.41164300183649544,0.012181436179178027
2,3.0,1000.0,0.3,4.0,235.467,1.0,0.055,0.055,0.028,20.282,10.859,0.293,2322.638,174.694,1.0,9533.146,235.467,1.0,80.195,60.477,0.294,80.195,4.713,0.294,3.5284493571349245,0.0,0.011666666666666667,0.011666666666666667,0.00521950603441008,1.210447710419438,0.7072264759525679,0.01439994299844129,13.651309871848113,3.177384480376295,0.0,4.788933970369799,3.5284493571349245,0.0,4.544877874034669,4.214059060426749,0.014414290540008265,4.544877874034669,1.267095166576355,0.014414290540008265
3,3.0,1000.0,0.4,4.0,365.382,1.0,0.394,0.394,0.116,37.631,23.275,0.369,2576.18,284.31,1.0,9606.604,365.382,1.0,150.584,127.278,0.369,150.584,19.582,0.369,5.029707947588811,0.0,0.047844049296156495,0.047844049296156495,0.010131468138756922,1.8776465043759953,1.24508940346572,0.015266698139154782,16.67731394440965,4.5247507411203625,0.0,6.791319105976792,5.029707947588811,0.0,7.086055964578118,6.920296758320644,0.015266698139154782,7.086055964578118,3.396968158324224,0.015266698139154782
4,3.0,1000.0,0.5,4.0,484.825,1.0,1.041,1.041,0.184,54.563,36.066,0.412,2802.166,388.623,1.0,9735.707,484.825,1.0,223.253,192.257,0.412,223.253,21.187,0.412,6.306687139669899,0.0,0.1048155775889505,0.1048155775889505,0.01225945734093864,2.4713959271692647,1.7371566876241642,0.015572363292015072,19.22677917596915,5.741950266578757,0.0,10.147908414850189,6.306687139669899,0.0,9.556540716256144,9.356090068632962,0.015572363292015072,9.556540716256144,3.760198282288066,0.015572363292015072
5,3.0,1000.0,0.6,4.0,599.187,1.0,2.141,2.141,0.267,75.942,53.151,0.457,3004.905,490.502,1.0,9884.371,599.187,1.0,313.091,287.562,0.457,313.091,49.648,0.457,8.00371623088328,0.0,0.17285542513325405,0.17285542513325405,0.013996674851796297,3.147804522093027,2.3188296983974843,0.0157606915901365,21.278700925763484,7.3044851632061985,0.0,13.105367145067726,8.00371623088328,0.0,12.334976707289291,12.294566463300791,0.0157606915901365,12.334976707289291,6.496981211367388,0.0157606915901365
6,3.0,1000.0,0.7,4.0,703.948,1.0,3.483,3.483,0.332,95.508,69.305,0.504,3167.595,582.558,1.0,10022.884,703.948,1.0,399.295,367.726,0.504,399.295,80.542,0.504,8.641092973911567,0.0,0.23571438707103193,0.23571438707103193,0.014899597242811567,3.554910311572336,2.688674198177225,0.015818793703510838,22.685562627511068,7.998128824962792,0.0,15.217414308686942,8.641092973911567,0.0,14.161997392498883,14.188207432729273,0.015818793703510838,14.161997392498883,8.514842498765246,0.015818793703510838
7,3.0,1000.0,0.8,4.0,808.696,1.0,4.866,4.866,0.392,114.484,84.48,0.545,3333.29,671.294,1.0,10163.333,808.696,1.0,484.389,461.123,0.545,484.389,71.193,0.545,10.099244344024973,0.0,0.29947910065934774,0.29947910065934774,0.015445859463771337,3.973735562203192,3.093383037811292,0.015755101498347232,23.231854402069562,9.215061417099779,0.0,16.797658927851842,10.099244344024973,0.0,16.007763934578282,16.138620664355056,0.015755101498347232,16.007763934578282,8.911065752413897,0.015755101498347232
8,3.0,1000.0,0.9,4.0,861.422,1.0,5.918,5.918,0.419,121.554,90.511,0.543,3390.61,719.368,1.0,10234.863,861.422,1.0,515.168,490.717,0.544,515.168,77.798,0.544,10.285791823162153,0.0,0.3502684170232365,0.3502684170232365,0.015610338967577951,4.143811803190422,3.236852961766428,0.0157606915901365,23.946980389388774,9.38448875566512,0.0,17.875956647325978,10.285791823162153,0.0,16.93844936358824,17.081401089318582,0.015757928553979176,16.93844936358824,9.166172260540923,0.015757928553979176
9,3.0,1000.0,1.0,4.0,934.691,1.0,7.476,7.476,0.457,144.137,111.24,0.582,3530.521,787.25,1.0,10337.827,934.691,1.0,597.598,574.298,0.582,597.598,117.047,0.582,10.990717510262483,0.0,0.3996137073663954,0.3996137073663954,0.0157606915901365,4.556332560008916,3.6825740660238937,0.015605111967541902,24.686375324978044,10.245511309934807,0.0,18.8912625536753,10.990717510262483,0.0,18.161353946585955,18.412374228239027,0.015605111967541902,18.161353946585955,11.611054533434006,0.015605111967541902
